<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
050424;143600;92.3875;92.4125;92.38;92.3875;3918000
050424;143700;92.39;92.3975;92.3825;92.39;1205000
050424;143800;92.39;92.4;92.3875;92.395;1218000
050424;143900;92.3975;92.4075;92.3925;92.405;1286000
050424;144000;92.405;92.4075;92.4;92.4025;843000
050424;144100;92.405;92.415;92.4025;92.41;1013000
050424;144200;92.41;92.4125;92.405;92.4075;491000
050424;144300;92.4075;92.4075;92.4025;92.405;846000
050424;144400;92.405;92.41;92.4;92.405;807000
050424;144500;92.4025;92.405;92.3775;92.38;3872000
050424;144600;92.38;92.4075;92.37;92.4;765000
050424;144700;92.3975;92.3975;92.375;92.385;736000
050424;144800;92.385;92.39;92.375;92.39;596000
050424;144900;92.39;92.4125;92.385;92.39;1925000
050424;145000;92.39;92.4075;92.3875;92.3975;2004000
050424;145100;92.3975;92.4;92.3925;92.3975;2156000
050424;145200;92.3975;92.42;92.395;92.42;2064000
050424;145300;92.42;92.42;92.405;92.415;987000
050424;145400;92.4075;92.42;92.3975;92.415;1100000
050424;145500;92.41;92.415;92.4;92.4075;2843000
050424;145600;92.4075;92.4125;92.4;92.4125;580000
050424;145700;92.4125;92.415;92.3875;92.3925;757000
050424;145800;92.395;92.4;92.3825;92.395;1285000
050424;145900;92.385;92.4075;92.3825;92.4075;482000
050424;150000;92.41;92.4125;92.395;92.405;1544000
050424;150100;92.4075;92.415;92.3975;92.4075;1081000
050424;150200;92.4075;92.4125;92.3925;92.4125;2096000
050424;150300;92.4075;92.4075;92.4;92.4025;631000
050424;150400;92.3925;92.4;92.39;92.4;420000
050424;150500;92.395;92.41;92.395;92.41;1585000
050424;150600;92.41;92.42;92.4025;92.405;1171000
050424;150700;92.405;92.41;92.4;92.405;509000
050424;150800;92.4025;92.41;92.3975;92.3975;537000
050424;150900;92.395;92.405;92.395;92.4025;439000
050424;151000;92.4025;92.4075;92.39;92.405;1667000
050424;151100;92.405;92.415;92.3925;92.415;903000
050424;151200;92.415;92.4175;92.4025;92.4075;740000
050424;151300;92.4075;92.4175;92.4025;92.41;776000
050424;151400;92.4025;92.4125;92.395;92.4075;686000
050424;151500;92.3975;92.41;92.395;92.405;800000
050424;151600;92.405;92.4125;92.395;92.4125;955000
050424;151700;92.405;92.42;92.4025;92.4075;487000
050424;151800;92.4125;92.415;92.4025;92.4075;457000
050424;151900;92.405;92.415;92.405;92.41;655000
050424;152000;92.41;92.4175;92.4025;92.4175;655000
050424;152100;92.4175;92.42;92.4075;92.415;937000
050424;152200;92.42;92.42;92.41;92.4175;488000
050424;152300;92.4125;92.4225;92.41;92.4225;530000
050424;152400;92.4225;92.43;92.3925;92.4;5314000
050424;152500;92.3975;92.4;92.395;92.4;5076000
050424;152600;92.4;92.4;92.395;92.3975;1832000
050424;152700;92.395;92.395;92.3925;92.3925;379000
050424;152800;92.3875;92.395;92.3875;92.39;156000
050424;152900;92.3925;92.395;92.3825;92.3825;864000
050424;153000;92.3825;92.3825;92.3525;92.3525;1251000
050424;153100;92.3525;92.4;92.3525;92.3975;7947000
050424;153200;92.4;92.4;92.3975;92.4;1137000
050424;153300;92.3975;92.4;92.39;92.4;2167000
050424;153400;92.4;92.45;92.3875;92.4475;9076000
050424;153500;92.45;92.45;92.4275;92.4275;1338000
050424;153600;92.425;92.43;92.385;92.39;2264000
050424;153700;92.39;92.4075;92.3875;92.4075;362000
050424;153800;92.4075;92.4325;92.4075;92.4325;1452000
050424;153900;92.435;92.435;92.4125;92.42;693000
050424;154000;92.4125;92.42;92.4125;92.415;419000
050424;154100;92.4075;92.41;92.3925;92.3925;475000
050424;154200;92.3925;92.3925;92.3825;92.39;652000
050424;154400;92.395;92.4;92.395;92.4;145000
050424;154500;92.3925;92.3925;92.375;92.375;1260000
050424;154600;92.375;92.3825;92.375;92.3825;146000
050424;154700;92.38;92.4;92.38;92.4;3608000
050424;154800;92.4;92.4;92.3975;92.4;3227000
050424;154900;92.4;92.41;92.3975;92.41;2903000
050424;155000;92.41;92.4125;92.4;92.4125;1364000
050424;155100;92.4125;92.415;92.3975;92.41;1511000
050424;155200;92.4125;92.42;92.4075;92.4125;5736000
050424;155300;92.415;92.4375;92.4075;92.4375;2650000
050424;155400;92.4175;92.42;92.4075;92.4075;428000
050424;155500;92.41;92.425;92.4075;92.4125;5088000
050424;155600;92.4075;92.41;92.4075;92.4075;4492000
050424;155700;92.41;92.4275;92.405;92.4175;6641000
050424;155800;92.4175;92.4175;92.405;92.4075;4939000
050424;155900;92.405;92.4125;92.375;92.375;8315000
050424;160000;92.37;92.385;92.3525;92.3575;5885000
050424;160100;92.3675;92.3675;92.3275;92.34;2075000
050424;160200;92.34;92.35;92.3275;92.345;6089000
050424;160300;92.3425;92.3425;92.3425;92.3425;110000
050424;160400;92.3425;92.3525;92.3325;92.34;1135000
050424;160500;92.3525;92.365;92.3475;92.365;439000
050424;160600;92.3625;92.3925;92.3625;92.39;1391000
050424;160700;92.3775;92.3925;92.3775;92.3925;164000
050424;160800;92.3925;92.4;92.385;92.3975;845000
050424;160900;92.3975;92.3975;92.3575;92.38;1766000
050424;161000;92.3775;92.3925;92.3775;92.3875;827000
050424;161100;92.3925;92.4;92.3925;92.4;400000
050424;161200;92.405;92.41;92.4;92.4025;245000
050424;161300;92.4025;92.4025;92.4;92.4;148000
050424;161400;92.4;92.42;92.4;92.41;652000
050424;161500;92.4125;92.4125;92.4025;92.4025;135000
050424;161600;92.4075;92.4075;92.4;92.4075;448000
050424;161700;92.405;92.4075;92.4025;92.4025;276000
050424;161800;92.4025;92.42;92.4025;92.41;1512000
050424;161900;92.415;92.415;92.4125;92.4125;125000
050424;162000;92.4125;92.4275;92.4125;92.42;950000
050424;162100;92.4175;92.42;92.4175;92.42;604000
050424;162200;92.42;92.4225;92.42;92.42;1617000
050424;162300;92.4175;92.4175;92.4175;92.4175;7000
050424;162400;92.415;92.4275;92.41;92.41;642000
050424;162500;92.41;92.41;92.41;92.41;25000
050424;162600;92.4175;92.4175;92.41;92.41;173000
050424;162700;92.41;92.41;92.41;92.41;2000
050424;162800;92.41;92.4125;92.41;92.4125;103000
050424;162900;92.415;92.4175;92.41;92.415;243000
050424;163000;92.415;92.4175;92.41;92.4175;2549000
050424;163100;92.42;92.445;92.42;92.445;1025000
050424;163200;92.445;92.47;92.4325;92.4525;1946000
050424;163300;92.4425;92.4525;92.44;92.4425;558000
050424;163400;92.46;92.46;92.46;92.46;100000
050424;163500;92.47;92.475;92.445;92.445;1176000
050424;163600;92.445;92.4475;92.445;92.4475;925000
050424;163700;92.4525;92.4525;92.445;92.445;1101000
050424;163800;92.45;92.45;92.445;92.445;297000
050424;163900;92.4475;92.4475;92.42;92.42;4042000
050424;164000;92.4225;92.4225;92.41;92.4125;1307000
050424;164100;92.4125;92.4375;92.4125;92.4375;361000
050424;164200;92.4325;92.435;92.4175;92.4325;567000
050424;164300;92.4325;92.44;92.4125;92.42;704000
050424;164400;92.42;92.43;92.4125;92.43;628000
050424;164500;92.435;92.44;92.41;92.425;1050000
050424;164600;92.425;92.435;92.41;92.415;2053000
050424;164700;92.42;92.4375;92.415;92.425;1673000
050424;164800;92.4175;92.445;92.4175;92.445;1062000
050424;164900;92.4525;92.4575;92.425;92.4575;1636000
050424;165000;92.45;92.465;92.4475;92.465;941000
